state,year,tempf,tempc
Alabama,1895,61.64166667,16.46759259
Alabama,1896,64.26666667,17.92592593
Alabama,1897,64.19166667,17.88425926
Alabama,1898,62.98333333,17.21296296
Alabama,1899,63.1,17.27777778
Alabama,1900,63.40833333,17.44907407
Alabama,1901,61.39166667,16.3287037
Alabama,1902,63.58333333,17.5462963
Alabama,1903,61.975,16.65277778
Alabama,1904,62.76666667,17.09259259
Alabama,1905,62.63333333,17.01851852
Alabama,1906,63.275,17.375
Alabama,1907,63.725,17.625
Alabama,1908,64.04166667,17.80092593
Alabama,1909,63.85,17.69444444
Alabama,1910,62.66666667,17.03703704
Alabama,1911,65.325,18.51388889
Alabama,1912,62.11666667,16.73148148
Alabama,1913,63.60833333,17.56018519
Alabama,1914,62.83333333,17.12962963
Alabama,1915,63.2,17.33333333
Alabama,1916,63.44166667,17.46759259
Alabama,1917,61.85,16.58333333
Alabama,1918,63.78333333,17.65740741
Alabama,1919,64.09166667,17.8287037
Alabama,1920,62.3,16.83333333
Alabama,1921,65.70833333,18.72685185
Alabama,1922,65.16666667,18.42592593
Alabama,1923,63.41666667,17.4537037
Alabama,1924,62.25,16.80555556
Alabama,1925,64.95833333,18.31018519
Alabama,1926,62.9,17.16666667
Alabama,1927,65.58333333,18.65740741
Alabama,1928,62.48333333,16.93518519
Alabama,1929,63.43333333,17.46296296
Alabama,1930,63.26666667,17.37037037
Alabama,1931,64.05,17.80555556
Alabama,1932,64.01666667,17.78703704
Alabama,1933,65.1,18.38888889
Alabama,1934,63.4,17.44444444
Alabama,1935,63.575,17.54166667
Alabama,1936,63.80833333,17.6712963
Alabama,1937,63.39166667,17.43981481
Alabama,1938,64.54166667,18.0787037
Alabama,1939,63.875,17.70833333
Alabama,1940,61.175,16.20833333
Alabama,1941,63.6,17.55555556
Alabama,1942,62.5,16.94444444
Alabama,1943,63.24166667,17.35648148
Alabama,1944,63.60833333,17.56018519
Alabama,1945,63.85,17.69444444
Alabama,1946,64.10833333,17.83796296
Alabama,1947,62.65,17.02777778
Alabama,1948,63.4,17.44444444
Alabama,1949,64.225,17.90277778
Alabama,1950,63.11666667,17.28703704
Alabama,1951,63.76666667,17.64814815
Alabama,1952,63.35,17.41666667
Alabama,1953,63.75833333,17.64351852
Alabama,1954,64.175,17.875
Alabama,1955,63.43333333,17.46296296
Alabama,1956,63.58333333,17.5462963
Alabama,1957,63.95,17.75
Alabama,1958,61.21666667,16.23148148
Alabama,1959,62.95,17.19444444
Alabama,1960,61.54166667,16.41203704
Alabama,1961,61.93333333,16.62962963
Alabama,1962,63.05,17.25
Alabama,1963,61.725,16.51388889
Alabama,1964,62.39166667,16.88425926
Alabama,1965,63.00833333,17.22685185
Alabama,1966,61.64166667,16.46759259
Alabama,1967,61.91666667,16.62037037
Alabama,1968,61,16.11111111
Alabama,1969,61.36666667,16.31481481
Alabama,1970,62.11666667,16.73148148
Alabama,1971,62.68333333,17.0462963
Alabama,1972,62.95833333,17.19907407
Alabama,1973,63.05833333,17.25462963
Alabama,1974,63.1,17.27777778
Alabama,1975,62.825,17.125
Alabama,1976,60.675,15.93055556
Alabama,1977,62.45833333,16.9212963
Alabama,1978,61.86666667,16.59259259
Alabama,1979,61.35833333,16.31018519
Alabama,1980,62.46666667,16.92592593
Alabama,1981,61.98333333,16.65740741
Alabama,1982,63.34166667,17.41203704
Alabama,1983,61.19166667,16.21759259
Alabama,1984,62.81666667,17.12037037
Alabama,1985,62.79166667,17.10648148
Alabama,1986,64.09166667,17.8287037
Alabama,1987,63.04166667,17.24537037
Alabama,1988,62.075,16.70833333
Alabama,1989,62.2,16.77777778
Alabama,1990,64.91666667,18.28703704
Alabama,1991,63.95833333,17.75462963
Alabama,1992,62.10833333,16.72685185
Alabama,1993,62.325,16.84722222
Alabama,1994,63.05,17.25
Alabama,1995,63.03333333,17.24074074
Alabama,1996,62.125,16.73611111
Alabama,1997,62.36666667,16.87037037
Alabama,1998,65.125,18.40277778
Alabama,1999,64.14166667,17.85648148
Alabama,2000,63.56666667,17.53703704
Alabama,2001,63.03333333,17.24074074
Alabama,2002,63.575,17.54166667
Alabama,2003,62.73333333,17.07407407
Alabama,2004,63.33333333,17.40740741
Alabama,2005,63.39166667,17.43981481
Alabama,2006,64.2,17.88888889
Alabama,2007,64.4,18
Alabama,2008,62.91666667,17.17592593
Alabama,2009,62.90833333,17.1712963
Alabama,2010,62.70833333,17.06018519
Alabama,2011,63.83333333,17.68518519
Alabama,2012,64.91666667,18.28703704
Alabama,2013,62.6,17
Alabama,2014,62.03333333,16.68518519
Alabama,2015,64.61666667,18.12037037
Alabama,2016,65.34166667,18.52314815
Alabama,2017,65.03333333,18.35185185
Alabama,2018,64.45,18.02777778
Alabama,2019,65.375,18.54166667
Arizona,1895,58.49166667,14.71759259
Arizona,1896,59.98333333,15.5462963
Arizona,1897,58.625,14.79166667
Arizona,1898,59.01666667,15.00925926
Arizona,1899,59.16666667,15.09259259
Arizona,1900,60.06666667,15.59259259
Arizona,1901,59.94166667,15.52314815
Arizona,1902,59.65,15.36111111
Arizona,1903,58.99166667,14.99537037
Arizona,1904,59.65,15.36111111
Arizona,1905,58.78333333,14.87962963
Arizona,1906,59.01666667,15.00925926
Arizona,1907,59.45,15.25
Arizona,1908,58.725,14.84722222
Arizona,1909,58.45833333,14.69907407
Arizona,1910,61.18333333,16.21296296
Arizona,1911,58.775,14.875
Arizona,1912,57.2,14
Arizona,1913,57.48333333,14.15740741
Arizona,1914,59.91666667,15.50925926
Arizona,1915,58.21666667,14.56481481
Arizona,1916,58.78333333,14.87962963
Arizona,1917,58.65833333,14.81018519
Arizona,1918,58.81666667,14.89814815
Arizona,1919,58.08333333,14.49074074
Arizona,1920,57.79166667,14.3287037
Arizona,1921,59.925,15.51388889
Arizona,1922,58.625,14.79166667
Arizona,1923,57.85833333,14.36574074
Arizona,1924,58.61666667,14.78703704
Arizona,1925,59.1,15.05555556
Arizona,1926,59.60833333,15.33796296
Arizona,1927,59.53333333,15.2962963
Arizona,1928,59.63333333,15.35185185
Arizona,1929,58.53333333,14.74074074
Arizona,1930,58.53333333,14.74074074
Arizona,1931,59.21666667,15.12037037
Arizona,1932,58.38333333,14.65740741
Arizona,1933,58.75,14.86111111
Arizona,1934,61.73333333,16.51851852
Arizona,1935,59,15
Arizona,1936,60.30833333,15.72685185
Arizona,1937,59.125,15.06944444
